Model,L,Iter,Success
claude-sonnet-4-6,10,1,1
claude-sonnet-4-6,10,2,1
claude-sonnet-4-6,10,3,1
claude-sonnet-4-6,10,4,1
claude-sonnet-4-6,10,5,1
claude-sonnet-4-6,10,6,1
claude-sonnet-4-6,10,7,1
claude-sonnet-4-6,10,8,1
claude-sonnet-4-6,10,9,1
claude-sonnet-4-6,10,10,1
claude-sonnet-4-6,10,11,1
claude-sonnet-4-6,10,12,1
claude-sonnet-4-6,10,13,1
claude-sonnet-4-6,10,14,1
claude-sonnet-4-6,10,15,1
claude-sonnet-4-6,10,16,1
claude-sonnet-4-6,10,17,1
claude-sonnet-4-6,10,18,1
claude-sonnet-4-6,10,19,1
claude-sonnet-4-6,10,20,1
claude-sonnet-4-6,10,21,1
claude-sonnet-4-6,10,22,1
claude-sonnet-4-6,10,23,1
claude-sonnet-4-6,10,24,1
claude-sonnet-4-6,10,25,1
claude-sonnet-4-6,10,26,1
claude-sonnet-4-6,10,27,1
claude-sonnet-4-6,10,28,1
claude-sonnet-4-6,10,29,1
claude-sonnet-4-6,10,30,1
claude-sonnet-4-6,20,1,1
claude-sonnet-4-6,20,2,1
claude-sonnet-4-6,20,3,1
claude-sonnet-4-6,20,4,1
claude-sonnet-4-6,20,5,1
claude-sonnet-4-6,20,6,1
claude-sonnet-4-6,20,7,1
claude-sonnet-4-6,20,8,1
claude-sonnet-4-6,20,9,1
claude-sonnet-4-6,20,10,1
claude-sonnet-4-6,20,11,1
claude-sonnet-4-6,20,12,1
claude-sonnet-4-6,20,13,1
claude-sonnet-4-6,20,14,1
claude-sonnet-4-6,20,15,1
claude-sonnet-4-6,20,16,1
claude-sonnet-4-6,20,17,1
claude-sonnet-4-6,20,18,1
claude-sonnet-4-6,20,19,1
claude-sonnet-4-6,20,20,1
claude-sonnet-4-6,20,21,1
claude-sonnet-4-6,20,22,1
claude-sonnet-4-6,20,23,1
claude-sonnet-4-6,20,24,1
claude-sonnet-4-6,20,25,1
claude-sonnet-4-6,20,26,1
claude-sonnet-4-6,20,27,1
claude-sonnet-4-6,20,28,1
claude-sonnet-4-6,20,29,1
claude-sonnet-4-6,20,30,1
claude-sonnet-4-6,50,1,0
claude-sonnet-4-6,50,2,0
claude-sonnet-4-6,50,3,0
claude-sonnet-4-6,50,4,0
claude-sonnet-4-6,50,5,0
claude-sonnet-4-6,50,6,0
claude-sonnet-4-6,50,7,0
claude-sonnet-4-6,50,8,0
claude-sonnet-4-6,50,9,0
claude-sonnet-4-6,50,10,0
claude-sonnet-4-6,50,11,0
claude-sonnet-4-6,50,12,0
claude-sonnet-4-6,50,13,0
claude-sonnet-4-6,50,14,0
claude-sonnet-4-6,50,15,0
claude-sonnet-4-6,50,16,0
claude-sonnet-4-6,50,17,0
claude-sonnet-4-6,50,18,0
claude-sonnet-4-6,50,19,0
claude-sonnet-4-6,50,20,0
claude-sonnet-4-6,50,21,0
claude-sonnet-4-6,50,22,0
claude-sonnet-4-6,50,23,0
claude-sonnet-4-6,50,24,0
claude-sonnet-4-6,50,25,0
claude-sonnet-4-6,50,26,0
claude-sonnet-4-6,50,27,0
claude-sonnet-4-6,50,28,0
claude-sonnet-4-6,50,29,0
claude-sonnet-4-6,50,30,0
claude-sonnet-4-6,100,1,0
claude-sonnet-4-6,100,2,0
claude-sonnet-4-6,100,3,0
claude-sonnet-4-6,100,4,0
claude-sonnet-4-6,100,5,0
claude-sonnet-4-6,100,6,0
claude-sonnet-4-6,100,7,0
claude-sonnet-4-6,100,8,0
claude-sonnet-4-6,100,9,0
claude-sonnet-4-6,100,10,0
claude-sonnet-4-6,100,11,0
claude-sonnet-4-6,100,12,0
claude-sonnet-4-6,100,13,0
claude-sonnet-4-6,100,14,0
claude-sonnet-4-6,100,15,0
claude-sonnet-4-6,100,16,0
claude-sonnet-4-6,100,17,0
claude-sonnet-4-6,100,18,0
claude-sonnet-4-6,100,19,0
claude-sonnet-4-6,100,20,0
claude-sonnet-4-6,100,21,0
claude-sonnet-4-6,100,22,0
claude-sonnet-4-6,100,23,0
claude-sonnet-4-6,100,24,0
claude-sonnet-4-6,100,25,0
claude-sonnet-4-6,100,26,0
claude-sonnet-4-6,100,27,0
claude-sonnet-4-6,100,28,0
claude-sonnet-4-6,100,29,0
claude-sonnet-4-6,100,30,0
