Model,L,Iter,Success
gemini-3.1-pro-preview,10,1,1
gemini-2.5-flash,10,1,1
gemini-3.1-pro-preview,10,2,1
gemini-2.5-flash,10,2,1
gemini-3.1-pro-preview,10,3,1
gemini-2.5-flash,10,3,1
gemini-3.1-pro-preview,10,4,1
gemini-2.5-flash,10,4,1
gemini-3.1-pro-preview,10,5,1
gemini-2.5-flash,10,5,1
gemini-3.1-pro-preview,10,6,1
gemini-2.5-flash,10,6,1
gemini-3.1-pro-preview,10,7,1
gemini-2.5-flash,10,7,1
gemini-3.1-pro-preview,10,8,1
gemini-2.5-flash,10,8,1
gemini-3.1-pro-preview,10,9,1
gemini-2.5-flash,10,9,1
gemini-3.1-pro-preview,10,10,1
gemini-2.5-flash,10,10,1
gemini-3.1-pro-preview,10,11,1
gemini-2.5-flash,10,11,1
gemini-3.1-pro-preview,10,12,1
gemini-2.5-flash,10,12,1
gemini-3.1-pro-preview,10,13,1
gemini-2.5-flash,10,13,1
gemini-3.1-pro-preview,10,14,1
gemini-2.5-flash,10,14,1
gemini-3.1-pro-preview,10,15,1
gemini-2.5-flash,10,15,1
gemini-3.1-pro-preview,10,16,1
gemini-2.5-flash,10,16,1
gemini-3.1-pro-preview,10,17,1
gemini-2.5-flash,10,17,1
gemini-3.1-pro-preview,10,18,1
gemini-2.5-flash,10,18,1
gemini-3.1-pro-preview,10,19,1
gemini-2.5-flash,10,19,1
gemini-3.1-pro-preview,10,20,1
gemini-2.5-flash,10,20,1
gemini-3.1-pro-preview,10,21,1
gemini-2.5-flash,10,21,1
gemini-3.1-pro-preview,10,22,1
gemini-2.5-flash,10,22,1
gemini-3.1-pro-preview,10,23,1
gemini-2.5-flash,10,23,1
gemini-3.1-pro-preview,10,24,1
gemini-2.5-flash,10,24,1
gemini-3.1-pro-preview,10,25,1
gemini-2.5-flash,10,25,1
gemini-3.1-pro-preview,10,26,1
gemini-2.5-flash,10,26,1
gemini-3.1-pro-preview,10,27,1
gemini-2.5-flash,10,27,1
gemini-3.1-pro-preview,10,28,1
gemini-2.5-flash,10,28,1
gemini-3.1-pro-preview,10,29,1
