Model,L,Iter,Success
llama-3.3-70b-versatile,10,1,1
llama-3.1-8b-instant,10,1,1
qwen/qwen3-32b,10,1,1
llama-3.3-70b-versatile,10,2,1
llama-3.1-8b-instant,10,2,1
qwen/qwen3-32b,10,2,1
llama-3.3-70b-versatile,10,3,1
llama-3.1-8b-instant,10,3,1
qwen/qwen3-32b,10,3,1
llama-3.3-70b-versatile,10,4,1
llama-3.1-8b-instant,10,4,1
qwen/qwen3-32b,10,4,1
llama-3.3-70b-versatile,10,5,1
llama-3.1-8b-instant,10,5,1
qwen/qwen3-32b,10,5,1
llama-3.3-70b-versatile,10,6,1
llama-3.1-8b-instant,10,6,1
qwen/qwen3-32b,10,6,1
llama-3.3-70b-versatile,10,7,1
llama-3.1-8b-instant,10,7,1
qwen/qwen3-32b,10,7,1
llama-3.3-70b-versatile,10,8,1
llama-3.1-8b-instant,10,8,1
qwen/qwen3-32b,10,8,1
llama-3.3-70b-versatile,10,9,1
llama-3.1-8b-instant,10,9,1
qwen/qwen3-32b,10,9,1
llama-3.3-70b-versatile,10,10,1
llama-3.1-8b-instant,10,10,1
qwen/qwen3-32b,10,10,1
llama-3.3-70b-versatile,10,11,1
llama-3.1-8b-instant,10,11,1
qwen/qwen3-32b,10,11,1
llama-3.3-70b-versatile,10,12,1
llama-3.1-8b-instant,10,12,1
qwen/qwen3-32b,10,12,1
llama-3.3-70b-versatile,10,13,1
llama-3.1-8b-instant,10,13,1
qwen/qwen3-32b,10,13,1
llama-3.3-70b-versatile,10,14,1
llama-3.1-8b-instant,10,14,1
qwen/qwen3-32b,10,14,1
llama-3.3-70b-versatile,10,15,1
llama-3.1-8b-instant,10,15,1
qwen/qwen3-32b,10,15,1
llama-3.3-70b-versatile,10,16,1
llama-3.1-8b-instant,10,16,1
qwen/qwen3-32b,10,16,1
llama-3.3-70b-versatile,10,17,1
llama-3.1-8b-instant,10,17,1
qwen/qwen3-32b,10,17,1
llama-3.3-70b-versatile,10,18,1
llama-3.1-8b-instant,10,18,1
qwen/qwen3-32b,10,18,1
llama-3.3-70b-versatile,10,19,1
llama-3.1-8b-instant,10,19,1
qwen/qwen3-32b,10,19,1
llama-3.3-70b-versatile,10,20,1
llama-3.1-8b-instant,10,20,1
qwen/qwen3-32b,10,20,1
llama-3.3-70b-versatile,10,21,1
llama-3.1-8b-instant,10,21,1
qwen/qwen3-32b,10,21,1
llama-3.3-70b-versatile,10,22,1
llama-3.1-8b-instant,10,22,1
qwen/qwen3-32b,10,22,1
llama-3.3-70b-versatile,10,23,1
llama-3.1-8b-instant,10,23,1
qwen/qwen3-32b,10,23,1
llama-3.3-70b-versatile,10,24,1
llama-3.1-8b-instant,10,24,1
qwen/qwen3-32b,10,24,1
llama-3.3-70b-versatile,10,25,1
llama-3.1-8b-instant,10,25,1
qwen/qwen3-32b,10,25,1
llama-3.3-70b-versatile,10,26,1
llama-3.1-8b-instant,10,26,1
qwen/qwen3-32b,10,26,1
llama-3.3-70b-versatile,10,27,1
llama-3.1-8b-instant,10,27,1
qwen/qwen3-32b,10,27,1
llama-3.3-70b-versatile,10,28,1
llama-3.1-8b-instant,10,28,1
qwen/qwen3-32b,10,28,1
llama-3.3-70b-versatile,10,29,1
llama-3.1-8b-instant,10,29,1
qwen/qwen3-32b,10,29,1
llama-3.3-70b-versatile,10,30,1
llama-3.1-8b-instant,10,30,1
qwen/qwen3-32b,10,30,1
llama-3.3-70b-versatile,20,1,1
llama-3.1-8b-instant,20,1,1
qwen/qwen3-32b,20,1,1
llama-3.3-70b-versatile,20,2,1
llama-3.1-8b-instant,20,2,1
qwen/qwen3-32b,20,2,1
llama-3.3-70b-versatile,20,3,1
llama-3.1-8b-instant,20,3,1
qwen/qwen3-32b,20,3,1
