Model,L,Iter,Success
gpt-5.4,10,1,1
gpt-5.4-mini,10,1,1
gpt-5.4,10,2,1
gpt-5.4-mini,10,2,1
gpt-5.4,10,3,1
gpt-5.4-mini,10,3,1
gpt-5.4,10,4,1
gpt-5.4-mini,10,4,1
gpt-5.4,10,5,1
gpt-5.4-mini,10,5,1
gpt-5.4,10,6,1
gpt-5.4-mini,10,6,1
gpt-5.4,10,7,1
gpt-5.4-mini,10,7,1
gpt-5.4,10,8,1
gpt-5.4-mini,10,8,1
gpt-5.4,10,9,1
gpt-5.4-mini,10,9,1
gpt-5.4,10,10,1
gpt-5.4-mini,10,10,1
gpt-5.4,10,11,1
gpt-5.4-mini,10,11,1
gpt-5.4,10,12,1
gpt-5.4-mini,10,12,1
gpt-5.4,10,13,1
gpt-5.4-mini,10,13,1
gpt-5.4,10,14,1
gpt-5.4-mini,10,14,1
gpt-5.4,10,15,1
gpt-5.4-mini,10,15,1
gpt-5.4,10,16,1
gpt-5.4-mini,10,16,1
gpt-5.4,10,17,1
gpt-5.4-mini,10,17,1
gpt-5.4,10,18,1
gpt-5.4-mini,10,18,1
gpt-5.4,10,19,1
gpt-5.4-mini,10,19,1
gpt-5.4,10,20,1
gpt-5.4-mini,10,20,1
gpt-5.4,10,21,1
gpt-5.4-mini,10,21,1
gpt-5.4,10,22,1
gpt-5.4-mini,10,22,1
gpt-5.4,10,23,1
gpt-5.4-mini,10,23,1
gpt-5.4,10,24,1
gpt-5.4-mini,10,24,1
gpt-5.4,10,25,1
gpt-5.4-mini,10,25,1
gpt-5.4,10,26,1
gpt-5.4-mini,10,26,1
gpt-5.4,10,27,1
gpt-5.4-mini,10,27,1
gpt-5.4,10,28,1
gpt-5.4-mini,10,28,1
gpt-5.4,10,29,1
gpt-5.4-mini,10,29,1
gpt-5.4,10,30,1
gpt-5.4-mini,10,30,1
gpt-5.4,20,1,1
gpt-5.4-mini,20,1,1
gpt-5.4,20,2,1
gpt-5.4-mini,20,2,1
gpt-5.4,20,3,1
gpt-5.4-mini,20,3,1
gpt-5.4,20,4,1
gpt-5.4-mini,20,4,1
gpt-5.4,20,5,1
gpt-5.4-mini,20,5,1
gpt-5.4,20,6,1
gpt-5.4-mini,20,6,1
gpt-5.4,20,7,1
gpt-5.4-mini,20,7,1
